"COMPNAME","pmorigin"
"Eufaula","Sedimentary rock"
"Eunola","Sedimentary rock"
"Eustis","Sedimentary rock"
"Eutaw","Chalk"
"Evadale","Igneous, metamorphic and sedimentary rock"
"Evanola","Sandstone and shale"
"Evanot","Sandstone"
"Evans","Mixed"
"Evansham","Limestone, sandstone, and shale"
"Evanston","Igneous, metamorphic and sedimentary rock"
"Evant","Limestone"
"Evard","Amphibolite"
"Evaro","Quartzite"
"Evendale","Cherty limestone"
"Everman","Chert"
"Everry","Calcareous siltstone"
"Evick","Tuff"
"Evna","Sandstone and shale"
"Evpark","Sandstone and shale"
"Evridge","Sandstone"
"Ewa","Basalt"
"Ewelac","Mixed"
"Excelsior","Sedimentary rock"
"Exchequer","Metavolcanics"
"Exclose","Calcareous shale"
"Exel","Basic igneous rock"
"Exeter","Granite"
"Express","Quartz-diorite"
"Exray","Sandstone"
"Exway","Mudstone"
"Eylau","Sandstone and shale"
"Eyre","Quartzite"
"Ezbin","Rhyolite"
"Ezel","Sedimentary rock"
"Ezell","Sedimentary rock"
"Faceville","Sedimentary rock"
"Facey","Metamorphic rock"
"Factory","Sandstone"
"Factoryville","Igneous and sedimentary rock"
"Faddin","Igneous, metamorphic and sedimentary rock"
"Fadoll","Mixed"
"Fagan","Sandstone and shale"
"Fagasa","Igneous rock"
"Fages","Mixed"
"Fahnestock","Basalt"
"Faim","Sedimentary rock"
"Fairberg","Sedimentary rock"
"Fairburn","Sandstone and shale"
"Fairchild","Sandstone and shale"
"Fairfax","Granite and gneiss"
"Fairfield","Limestone"
"Fairlie","Chalk"
"Fairmount","Limestone and shale"
"Fairplay","Marl"
"Fairpoint","Limestone, sandstone, and shale"
"Fairport","Limestone and dolomite"
"Fairview","Schist"
"Fairway","Shale and siltstone"
"Fairylawn","Igneous rock"
"Fajada","Sandstone and shale"
"Fajardo","Volcanic and sedimentary rock"
"Falaya","Sedimentary rock"
"Falba","Sandstone and siltstone"
"Falcon","Sandstone"
"Falconry","Sandstone"
"Faleria","Volcanic rock"
"Falfurrias","Sandstone"
"Falkner","Sedimentary rock"
"Fallager","Volcanic rock"
"Fallbrook","Granodiorite"
"Fallert","Limestone"
"Fallon","Mixed"
"Fallriver","Granite"
"Fallsam","Basalt"
"Fallsington","Basalt"
"Falula","Conglomerate"
"Fanal","Basalt"
"Fancher","Serpentinite"
"Fanchon","Dolomite"
"Fang","Basalt"
"Fangio","Granite and gneiss"
"Fanhill","Granitoid"
"Fannin","Mica schist"
"Fanno","Sandstone"
"Fantail","Clayey shale"
"Fantz","Gabbro"
"Fanu","Welded tuff"
"Far","Granite and gneiss"
"Farallone","Granite"
"Faraway","Andesite"
"Farb","Sandstone"
"Fardraw","Mixed"
"Farepeak","Welded tuff"
"Farfeld","Mudstone"
"Farisita","Sandstone"
"Farland","Sedimentary rock"
"Farlin","Limestone"
"Farlow","Limestone"
"Farmerstown","Interbedded sedimentary rock"
"Farmington","Limestone and dolomite"
"Farner","Sandstone"
"Farnuf","Sedimentary rock"
"Farnum","Sedimentary rock"
"Farragut","Shale"
"Farrell","Basalt"
"Farrot","Igneous rock"
"Farson","Igneous, metamorphic and sedimentary rock"
"Farva","Igneous rock"
"Farvant","Tuff"
"Farview","Sandstone"
"Farway","Sandstone and shale"
"Farwell","Igneous, metamorphic and sedimentary rock"
"Fashing","Siltstone"
"Faskin","Sedimentary rock"
"Fattig","Sandstone and shale"
"Faula","Mixed"
"Faunsdale","Chalk"
"Fauquier","Greenstone"
"Fawceter","Igneous rock"
"Fawin","Mixed"
"Fawnspring","Sedimentary rock"
"Fax","Andesite"
"Faxon","Limestone"
"Faycreek","Granitoid"
"Fayetteville","Calcareous sandstone"
"Faywood","Limestone and shale"
"Fe","Igneous, metamorphic and sedimentary rock"
"Fears","Granite"
"Featherfalls","Igneous rock"
"Featherlegs","Igneous, metamorphic and sedimentary rock"
"Fedscreek","Sandstone and shale"
"Feedstone","Limestone, sandstone, and shale"
"Feethill","Granitoid"
"Felan","Argillite"
"Felcher","Basalt"
"Felicity","Sedimentary rock"
"Felipe","Claystone"
"Felix","Calcareous shale"
"Feliz","Sedimentary rock"
"Felor","Sedimentary rock"
"Felta","Igneous, metamorphic and sedimentary rock"
"Feltner","Calcareous shale"
"Felton","Sandstone and shale"
"Fendall","Sedimentary rock"
"Fendersflat","Pyroclastic rock"
"Fenn","Basalt"
"Fenster","Mixed"
"Fenwick","Sandstone and shale"
"Fenwood","Granite"
"Ferball","Interbedded sedimentary rock"
"Ferdinand","Basalt"
"Ferebee","Metamorphic rock"
"Fergie","Basalt"
"Fergus","Sandstone and shale"
"Ferguson","Granite"
"Fernandez","Igneous and metamorphic rock"
"Fernando","Igneous and metamorphic rock"
"Ferncat","Mudstone"
"Ferncreek","Sandstone and siltstone"
"Ferndale","Mixed"
"Fernhaven","Sandstone and siltstone"
"Fernlake","Gneiss"
"Fernley","Mixed"
"Fernpoint","Basalt"
"Fernview","Igneous rock"
"Fernwood","Andesite"
"Ferrelo","Mixed"
"Ferris","Calcareous shale"
"Ferrogold","Limestone and dolomite"
"Ferron","Calcareous sandstone"
"Fertaline","Basalt"
"Ferver","Volcanic rock"
"Fessler","Argillite"
"Festus","Igneous rock"
"Fetch","Sandstone"
"Fett","Shale"
"Fetterman","Calcareous sandstone"
"Fettic","Mixed"
"Fetzer","Sandstone and shale"
"Fewkes","Quartzite"
"Fiale","Andesite"
"Fiat","Limestone and shale"
"Fico","Gneiss"
"Fiddler","Volcanic rock"
"Fiddletown","Granite"
"Fiddyment","Sedimentary rock"
"Fiedler","Conglomerate"
"Fieldcreek","Igneous, metamorphic and sedimentary rock"
"Fiesta","Granite and gneiss"
"Fifer","Sandstone and siltstone"
"Fifield","Metamorphic and sedimentary rock"
"Fifteenmile","Limestone"
"Fig","Granite"
"Figaro","Rhyolite"
"Figuore","Sandstone"
"Figuorsand","Metamorphic and sedimentary rock"
"Fikel","Sandstone and shale"
"Filaree","Mixed"
"Filiorum","Calcareous shale"
"Filiran","Volcanic and metamorphic rock"
"Final","Igneous rock"
"Fincastle","Limestone"
"Findon","Sedimentary rock"
"Findout","Limestone"
"Fingerridge","Volcanic rock"
"Fingerrock","Igneous and sedimentary rock"
"Finley","Sedimentary rock"
"Finleypoint","Quartzite"
"Finn","Sandstone and shale"
"Finnerty","Sedimentary rock"
"Finney","Metasedimentary rock"
"Finol","Basalt"
"Finrod","Igneous, metamorphic and sedimentary rock"
"Finsel","Volcanic rock"
"Firada","Limestone"
"Firading","Limestone"
"Firebaugh","Dolomite"
"Firebox","Quartzite"
"Firelake","Tuff breccia"
"Firesteel","Calcareous siltstone"
"Firestone","Shale"
"Firmage","Limestone"
"Firmountain","Schist"
"Firo","Metamorphic rock"
"Firoke","Basalt"
"Firstsister","Rhyolite"
"Firth","Igneous and metamorphic rock"
"Fiscus","Basalt"
"Fishaven","Limestone"
"Fishberry","Calcareous sandstone"
"Fisherdig","Volcanic rock"
"Fishers","Basalt"
"Fishrock","Sandstone and shale"
"Fishsnooze","Andesite"
"Fitchville","Interbedded sedimentary rock"
"Fitzgerald","Limestone, sandstone, and shale"
"Fitzhugh","Sandstone"
"Fitzpatrick","Sandstone and shale"
"Fitzwater","Basalt"
"Fivebeaver","Basalt"
"Fivebit","Basalt"
"Fiveblock","Sandstone"
"Fivemile","Igneous, metamorphic and sedimentary rock"
"Fiveoh","Igneous, metamorphic and sedimentary rock"
"Fivepine","Sandstone"
"Fiverivers","Sandstone and siltstone"
"Fivesprings","Volcanic rock"
"Fizzleflat","Mudstone"
"Flaco","Basalt"
"Flagcanyon","Basalt"
"Flagspring","Limestone and siltstone"
"Flagstaff","Volcanic rock"
"Flairmont","Phyllite"
"Flamen","Granite"
"Flane","Igneous rock"
"Flanly","Granodiorite"
"Flarm","Tuff"
"Flasher","Sandstone"
"Flaskan","Metavolcanics"
"Flatbottom","Basalt"
"Flatnose","Sandstone and shale"
"Flatnosewash","Mixed"
"Flatonia","Siltstone"
"Flatrock","Dolomite"
"Flatron","Welded tuff"
"Flattop","Mixed"
"Flatwoods","Acid shale"
"Fleak","Calcareous sandstone"
"Fleecer","Granite"
"Fleetwood","Sandstone"
"Fleischmann","Mixed"
"Fletcher","Schist"
"Fletcherville","Greenstone"
"Flett","Andesite"
"Flewsie","Quartzite"
"Flex","Volcanic rock"
"Flimflam","Welded tuff"
"Flint","Sedimentary rock"
"Flintcreek","Igneous, metamorphic and sedimentary rock"
"Flintrock","Mudstone"
"Flo","Sandstone and shale"
"Floak","Limestone"
"Floaters","Mixed"
"Floatybog","Igneous and metamorphic rock"
"Floke","Basalt"
"Flomack","Serpentinite"
"Flomaton","Sedimentary rock"
"Floodwood","Anorthosite"
"Florala","Sedimentary rock"
"Florand","Andesite"
"Floras","Metasedimentary rock"
"Florence","Cherty limestone"
"Floresville","Sandstone"
"Florey","Interbedded sedimentary rock"
"Florissant","Tuff"
"Florita","Sandstone"
"Flotag","Andesite"
"Flowell","Igneous rock"
"Floweree","Calcareous siltstone"
"Flowerpot","Sedimentary rock"
"Flue","Mixed"
"Fluetsch","Sandstone and shale"
"Flugle","Sandstone and shale"
"Flume","Phyllite"
"Flumecreek","Quartzite"
"Flumeville","Igneous, metamorphic and sedimentary rock"
"Flumewall","Metamorphic rock"
"Flutedrock","Sandstone"
"Fluvanna","Igneous rock"
"Flyat","Mudstone"
"Flybow","Basalt"
"Flycatcher","Igneous rock"
"Flycreek","Acidic tuff"
"Flyer","Quartz-diorite"
"Flygare","Quartzite"
"Flynn","Glauconitic sandstone"
"Flynncove","Metamorphic and sedimentary rock"
"Flyvalley","Acidic tuff"
"Foad","Metamorphic rock"
"Foard","Shale and siltstone"
"Foehlin","Ultramafic rock"
"Fogarty","Metamorphic and sedimentary rock"
"Foggydew","Volcanic and sedimentary rock"
"Foggyflat","Basalt"
"Foidel","Sandstone and shale"
"Fola","Limestone, sandstone, and shale"
"Folavar","Igneous, metamorphic and sedimentary rock"
"Foleylake","Tuff"
"Follet","Igneous, metamorphic and sedimentary rock"
"Fomseng","Basalt"
"Fonce","Metamorphic and sedimentary rock"
"Fondillas","Sandstone and siltstone"
"Fondis","Arkose"
"Fontaflora","Igneous and metamorphic rock"
"Fontana","Sandstone and shale"
"Fontback","Quartzite"
"Fontreen","Limestone, sandstone, and shale"
"Foolhen","Igneous, metamorphic and sedimentary rock"
"Footpath","Greenstone"
"Footstep","Sandstone"
"Fopiano","Andesite"
"Foraker","Shale"
"Forbar","Igneous rock"
"Forbes","Ultramafic rock"
"Forbidden","Granite"
"Fordbutte","Siltstone"
"Fordcreek","Metamorphic rock"
"Fordice","Basalt"
"Fordney","Tuff"
"Fordsterror","Schist"
"Fordtran","Igneous, metamorphic and sedimentary rock"
"Foreleft","Sandstone and shale"
"Forelle","Sandstone and shale"
"Foreright","Sandstone and shale"
"Foresand","Metamorphic and sedimentary rock"
"Forestay","Clayey shale"
"Forestdale","Sedimentary rock"
"Forgay","Mixed"
"Forgen","Interbedded sedimentary rock"
"Forhaux","Mudstone"
"Forkwood","Sandstone and shale"
"Formader","Basalt"
"Fornor","Mixed"
"Forrest","Igneous and sedimentary rock"
"Forsell","Volcanic rock"
"Forsey","Sandstone"
"Forshey","Granite"
"Fort","Sedimentary rock"
"Fort Collins","Sandstone and shale"
"Fort Rock","Volcanic rock"
"Fortank","Tuff"
"Fortirwin","Mixed"
"Fortlewis","Sandstone and shale"
"Fortlogan","Sedimentary rock"
"Fortsage","Mixed"
"Fortuna","Volcanic and sedimentary rock"
"Fortwingate","Sandstone"
"Fortyday","Basalt"
"Fortyfour","Schist"
"Fortyrod","Metamorphic and sedimentary rock"
"Forvic","Welded tuff"
"Forward","Rhyolite"
"Foss","Andesite"
"Fossilake","Volcanic rock"
"Fossilbutte","Interbedded sedimentary rock"
"Foster","Granite"
"Four Star","Volcanic rock"
"Fourche","Dolomite"
"Fourcorners","Mixed"
"Foureyes","Limestone"
"Fourme","Sandstone"
"Fourmile","Granite"
"Fourmound","Basalt"
"Foursees","Metamorphic and sedimentary rock"
"Foursixes","Limestone"
"Fourthcreek","Granite"
"Fourwheel","Basalt"
"Fouts","Schist"
"Fox","Limestone, sandstone, and shale"
"Foxcan","Shale"
"Foxcreek","Granite"
"Foxgulch","Igneous, metamorphic and sedimentary rock"
"Foxmount","Rhyolite"
"Foxol","Quartzite"
"Foxton","Calcareous sandstone"
"Foxville","Phyllite"
"Foy","Basalt"
"Foyslake","Argillite"
"Fraddle","Sandstone and shale"
"Fragua","Sandstone"
"Fraguni","Sandstone"
"Frailey","Sedimentary rock"
"Frailton","Tuff"
"Frajillo","Sandstone and shale"
"Francesville","Limestone"
"Franciscan","Sandstone"
"Francisquito","Mixed"
"Francitas","Igneous, metamorphic and sedimentary rock"
"Franconi","Granite"
"Franconia","Mixed"
"Frandsen","Limestone, sandstone, and shale"
"Franeau","Igneous, metamorphic and sedimentary rock"
"Franklinville","Interbedded sedimentary rock"
"Frankport","Mixed"
"Frankstown","Limestone and siltstone"
"Franktown","Andesite"
"Frankville","Dolomite"
"Fraternidad","Igneous, metamorphic and sedimentary rock"
"Fraval","Andesite"
"Frazerton","Igneous, metamorphic and sedimentary rock"
"Frazier","Granite"
"Frazwell","Igneous and sedimentary rock"
"Frederick","Limestone"
"Fredon","Slate"
"Fredonia","Limestone"
"Fredonyer","Volcanic rock"
"Fredriksdal","Volcanic rock"
"Freeboard","Andesite"
"Freedom","Limestone, sandstone, and shale"
"Freelpeak","Granite"
"Freemanville","Sedimentary rock"
"Freest","Sedimentary rock"
"Freestone","Shale and siltstone"
"Freezener","Igneous rock"
"Freezeout","Sandstone"
"Frelsburg","Calcareous shale"
"Fremkle","Basalt"
"French","Igneous and metamorphic rock"
"Frenchcreek","Granite"
"Frenchjohn","Rhyolite"
"Frenchman","Sandstone"
"Frenchmill","Igneous rock"
"Frentera","Tuff"
"Freshwater","Volcanic rock"
"Fresno","Granite"
"Freznik","Basalt"
"Friana","Basalt"
"Friant","Mica schist"
"Friberg","Sandstone and shale"
"Fricaba","Basalt"
"Fridlo","Andesite"
"Friedlander","Granite"
"Friedliver","Granitoid"
"Friedman","Igneous rock"
"Friendly","Dolomite"
"Friendlycity","Metamorphic and sedimentary rock"
"Friends","Igneous rock"
"Fries","Shale"
"Frigate","Schist"
"Frijoles","Pumice"
"Frint","Basalt"
"Frio","Limestone and shale"
"Frioton","Mixed"
"Fripp","Sedimentary rock"
"Frisco","Volcanic rock"
"Frisite","Sandstone and shale"
"Fritsland","Metasedimentary rock"
"Fritz","Limestone"
"Frizzelcreek","Basalt"
"Frizzell","Sedimentary rock"
"Frogsboro","Diabase"
"Frolic","Sandstone and shale"
"Frondorf","Sandstone and siltstone"
"Frontenac","Limestone"
"Frontier","Sandstone"
"Fronton","Igneous and sedimentary rock"
"Frostvalley","Metasedimentary rock"
"Fruita","Shale"
"Fruitcreek","Metasedimentary rock"
"Fruitdale","Sedimentary rock"
"Fruithurst","Phyllite"
"Fruitland","Sandstone and shale"
"Fruitvale","Clayey shale"
"Frye","Igneous and sedimentary rock"
"Fryeburg","Slate"
"Fryingpan","Rhyolite"
"Frymire","Andesite"
"Fryrear","Basalt"
"Fuego","Volcanic rock"
"Fuegosta","Mixed"
"Fuera","Sandstone and shale"
"Fuertes","Mica schist"
"Fugawee","Igneous rock"
"Fughes","Sandstone and shale"
"Fulcher","Sandstone and shale"
"Fulcrum","Tuff breccia"
"Fullam","Phyllite"
"Fuller","Mudstone"
"Fullerton","Cherty limestone"
"Fulmer","Sandstone and shale"
"Fulshear","Igneous, metamorphic and sedimentary rock"
"Fulstone","Mixed"
"Fulvance","Sandstone"
"Fulwider","Limestone"
"Funkstown","Limestone"
"Fuquay","Sedimentary rock"
"Furia","Sandstone and shale"
"Furniss","Metamorphic and sedimentary rock"
"Furshur","Rhyolite"
"Fury","Igneous rock"
"Fusuvar","Granite"
"Gabaldon","Limestone, sandstone, and shale"
"Gabbvally","Volcanic rock"
"Gabica","Volcanic rock"
"Gachado","Tuff"
"Gaciba","Igneous rock"
"Gad","Mixed"
"Gaddes","Granite"
"Gaddy","Sedimentary rock"
"Gadsden","Mixed"
"Gagil","Tuff breccia"
"Gaia","Granite"
"Gaib","Volcanic rock"
"Gaibson","Rhyolite"
"Gaila","Mica schist"
"Gainesboro","Sandstone and shale"
"Galbreth","Sandstone"
"Gale","Sandstone"
"Galehills","Conglomerate"
"Galeppi","Granite"
"Galestina","Sandstone and shale"
"Galey","Sedimentary rock"
"Galilee","Mudstone"
"Galisteo","Sandstone and shale"
"Gallatin","Andesite"
"Gallegos","Sedimentary rock"
"Gallen","Igneous and sedimentary rock"
"Gallia","Sedimentary rock"
"Gallime","Mixed"
"Gallion","Sedimentary rock"
"Gallup","Metasedimentary rock"
"Galt","Igneous, metamorphic and sedimentary rock"
"Galuche","Granite and gneiss"
"Galveston","Igneous, metamorphic and sedimentary rock"
"Galvin","Sandstone and shale"
"Galway","Limestone and dolomite"
"Galzuni","Sandstone and shale"
"Gambler","Quartzite"
"Gamboa","Igneous, metamorphic and sedimentary rock"
"Gambogy","Granite"
"Gamelake","Metavolcanics"
"Gamgee","Mixed"
"Gamm","Sedimentary rock"
"Ganado","Mixed"
"Gance","Mixed"
"Gando","Mixed"
"Gansner","Metasedimentary rock"
"Gany","Limestone"
"Gap","Volcanic rock"
"Gapcot","Sandstone"
"Gaphill","Sandstone"
"Gapmesa","Sandstone"
"Gapo","Shale"
"Gappmayer","Limestone, sandstone, and shale"
"Garber","Granite"
"Garberville","Mixed"
"Garbo","Igneous rock"
"Garbutt","Basalt"
"Garces","Granite"
"Garcia","Sandstone"
"Garcitas","Mixed"
"Gardella","Mixed"
"Gardencan","Granite and gneiss"
"Gardens","Igneous rock"
"Gardenvale","Sandstone"
"Gardenvalley","Limestone"
"Gardiner","Mixed"
"Gardnerville","Mixed"
"Gardone","Basalt"
"Gareck","Granite"
"Garfan","Quartzite"
"Garhill","Basalt"
"Garita","Basalt"
"Garland","Igneous, metamorphic and sedimentary rock"
"Garlet","Limestone, sandstone, and shale"
"Garley","Sedimentary rock"
"Garlin","Calcareous sandstone"
"Garlips","Metamorphic and sedimentary rock"
"Garloaf","Granite"
"Garlock","Granite"
"Garmon","Limestone and siltstone"
"Garnel","Granite"
"Garner","Sedimentary rock"
"Garnet","Igneous and metamorphic rock"
"Garr","Shale"
"Garretson","Metasedimentary rock"
"Garrett","Sandstone and shale"
"Garsid","Sandstone and shale"
"Garval","Granodiorite"
"Garveson","Granite"
"Garvin","Sedimentary rock"
"Garwin","Calcareous shale"
"Garywash","Granite"
"Garzona","Basalt"
"Gasconade","Dolomite"
"Gash","Metamorphic and sedimentary rock"
"Gasil","Sandstone"
"Gasquet","Peridotite"
"Gassaway","Igneous rock"
"Gassville","Dolomite"
"Gateridge","Sandstone and shale"
"Gateson","Sandstone and shale"
"Gateview","Quartzite"
"Gatewall","Volcanic and sedimentary rock"
"Gateway","Shale"
"Gatewood","Dolomite"
"Gator","Limestone"
"Gatton","Sandstone and shale"
"Gaudineer","Interbedded sedimentary rock"
"Gauldy","Igneous and sedimentary rock"
"Gauley","Sandstone"
"Gause","Mixed"
"Gavel","Volcanic rock"
"Gavilan","Igneous and sedimentary rock"
"Gavins","Siltstone"
"Gaviota","Sandstone"
"Gayhart","Shale"
"Gaylesville","Sedimentary rock"
"Gaylord","Sandstone and shale"
"Gaynor","Shale"
"Gayspass","Mixed"
"Gazelle","Igneous, metamorphic and sedimentary rock"
"Gazos","Shale"
"Gearhart","Mixed"
"Gebson","Sandstone and shale"
"Geebarc","Sedimentary rock"
"Geefour","Mudstone"
"Geemore","Dolomite"
"Geer","Welded tuff"
"Geertsen","Limestone and shale"
"Gefo","Granodiorite"
"Geghus","Sandstone"
"Geiger","Sedimentary rock"
"Geisel","Sedimentary rock"
"Geisercreek","Tuff"
"Gelderman","Basalt"
"Gelkie","Sandstone"
"Gellatly","Diabase"
"Gelsinger","Basalt"
"Gem","Basalt"
"Gemelo","Tuff"
"Genats","Shale"
"Genaw","Tuff"
"Gencey","Mixed"
"Genegraf","Mixed"
"Genoa","Granite"
"Genoapeak","Trachyte"
"Genola","Limestone and sandstone"
"Gentleannie","Metamorphic and sedimentary rock"
"Geoconda","Basalt"
"Geohrock","Granite"
"Georgecreek","Granite"
"Georgetown","Limestone"
"Georgeville","Metavolcanics"
"Georgia","Schist"
"Gepford","Igneous and sedimentary rock"
"Gepp","Dolomite"
"Geppert","Igneous rock"
"Gerald","Limestone"
"Gerbana","Mudstone"
"Gerber","Shale"
"Gerda","Shale and siltstone"
"Gerdog","Andesite"
"Gerdrum","Igneous, metamorphic and sedimentary rock"
"Gering","Igneous, metamorphic and sedimentary rock"
"Gerlach","Volcanic rock"
"Gerle","Granite"
"Germangulch","Volcanic rock"
"Germania","Sandstone and shale"
"Germanna","Igneous, metamorphic and sedimentary rock"
"Germano","Sandstone"
"Germany","Basalt"
"Germer","Rhyolite"
"Gerow","Volcanic rock"
"Gerrard","Igneous, metamorphic and sedimentary rock"
"Gerst","Sandstone and shale"
"Gessner","Igneous, metamorphic and sedimentary rock"
"Gestrin","Granite and gneiss"
"Geta","Volcanic rock"
"Getaway","Basalt"
"Getrail","Clayey shale"
"Gewter","Acid shale"
"Gholson","Mixed"
"Gianella","Igneous, metamorphic and sedimentary rock"
"Giarch","Sandstone and shale"
"Gibbonscreek","Sandstone and siltstone"
"Gibbs","Basalt"
"Gibney","Sandstone"
"Gibraltar","Shale and siltstone"
"Gibsoncreek","Sandstone"
"Gibsonville","Andesite"
"Gibwell","Sandstone"
"Gidwin","Basalt"
"Gielow","Sedimentary rock"
"Gila","Igneous and sedimentary rock"
"Gilco","Igneous and sedimentary rock"
"Gilead","Sedimentary rock"
"Gilispie","Basalt"
"Gilland","Sandstone and shale"
"Gillender","Rhyolite"
"Gilligan","Granite"
"Gills","Argillite"
"Gillsburg","Sedimentary rock"
"Gilluly","Sedimentary rock"
"Gillum","Limestone and sandstone"
"Gilmanton","Granite and gneiss"
"Gilmore","Schist"
"Gilpar","Igneous and metamorphic rock"
"Gilpin","Shale and siltstone"
"Gilroy","Igneous and metamorphic rock"
"Gilt Edge","Sandstone and shale"
"Gilwood","Siltstone"
"Gimmi","Basalt"
"Ginat","Shale and siltstone"
"Ginger","Igneous and sedimentary rock"
"Ginnis","Granite"
"Ginsberg","Sedimentary rock"
"Ginser","Gneiss"
"Ginserly","Volcanic rock"
"Giranch","Volcanic rock"
"Gish","Sandstone"
"Gist","Igneous, metamorphic and sedimentary rock"
"Gitam","Schist"
"Giveout","Basalt"
"Glacewash","Igneous and metamorphic rock"
"Glaciercreek","Granite"
"Glacierpoint","Granodiorite"
"Gladdice","Limestone"
"Gladehill","Limestone, sandstone, and shale"
"Gladel","Sandstone"
"Gladeville","Limestone"
"Gladewater","Mixed"
"Gladlow","Shale"
"Gladstone","Granite and gneiss"
"Glasgow","Tuff"
"Glassbutte","Volcanic rock"
"Glasshawk","Igneous and sedimentary rock"
"Glaze","Volcanic rock"
"Glean","Mixed"
"Gleason","Tuff"
"Glebe","Schist and phyllite"
"Glen","Basalt"
"Glenalpine","Volcanic and metamorphic rock"
"Glenbar","Mixed"
"Glenberg","Igneous, metamorphic and sedimentary rock"
"Glenblair","Basalt"
"Glenbrook","Granite"
"Glencabin","Volcanic rock"
"Glendale","Igneous and sedimentary rock"
"Glendive","Igneous, metamorphic and sedimentary rock"
"Glendo","Sandstone and siltstone"
"Gleneden","Mixed"
"Glenelg","Mica schist"
"Glenford","Mixed"
"Glenmora","Igneous, metamorphic and sedimentary rock"
"Glenrio","Shale and siltstone"
"Glenrose","Granite and gneiss"
"Glenross","Calcareous sandstone"
"Glensted","Limestone"
"Glentivar","Limestone, sandstone, and shale"
"Glenton","Igneous, metamorphic and sedimentary rock"
"Glenview","Obsidian"
"Glenville","Mica schist"
"Glenwood","Igneous and sedimentary rock"
"Glenyon","Igneous, metamorphic and sedimentary rock"
"Glideski","Quartzite"
"Gloria","Igneous rock"
"Glorieta","Sandstone and shale"
"Glotrain","Welded tuff"
"Gloucester","Granite and gneiss"
"Glynn","Igneous rock"
"Glynwood","Limestone and shale"
"Glyphs","Volcanic rock"
"Gnawbone","Siltstone"
"Gnojek","Igneous and sedimentary rock"
"Goatrock","Metasedimentary rock"
"Gobbler","Limestone"
"Gobernador","Sandstone and shale"
"Gobine","Conglomerate"
"Goblin","Sandstone and shale"
"Gochea","Mixed"
"Gocougs","Granitoid"
"Godde","Granite"
"Godding","Basalt"
"Godwin","Limestone"
"Goemmer","Shale and siltstone"
"Goesling","Limestone"
"Goffpeak","Volcanic rock"
"Gojiya","Sandstone and shale"
"Gol","Quartz-monzonite"
"Gold Creek","Shale"
"Goldbeach","Phyllite"
"Goldberg","Igneous and sedimentary rock"
"Goldbluffs","Sedimentary rock"
"Goldbug","Sandstone and shale"
"Goldbutte","Metamorphic rock"
"Goldeagle","Sandstone and shale"
"Goldenbell","Gneiss"
"Goldendale","Basalt"
"Goldenhills","Granitoid"
"Goldenlakes","Andesite"
"Goldfinch","Sandstone"
"Goldflint","Granite"
"Goldhill","Granite"
"Goldivide","Granite"
"Goldmine","Rhyolite"
"Goldmire","Sandstone and shale"
"Goldmountain","Metasedimentary rock"
"Goldpark","Shale"
"Goldpeak","Granite"
"Goldridge","Metasedimentary rock"
"Goldroad","Granite"
"Goldrose","Gneiss"
"Goldrun","Igneous rock"
"Goldsboro","Sedimentary rock"
"Goldston","Argillite"
"Goldust","Metamorphic and sedimentary rock"
"Goldvale","Sandstone and shale"
"Goldvein","Gneiss"
"Goldyke","Volcanic rock"
"Goleta","Sedimentary rock"
"Golfer","Granite"
"Goliad","Sandstone"
"Golime","Sandstone and shale"
"Gollaher","Limestone"
"Golondrina","Gneiss"
"Golphco","Sandstone and shale"
"Goltry","Sedimentary rock"
"Golva","Siltstone"
"Gomery","Sandstone and shale"
"Gomez","Sedimentary rock"
"Gomine","Igneous rock"
"Gompers","Sandstone and shale"
"Gonzaga","Shale"
"Gonzales","Volcanic rock"
"Goodale","Granite"
"Goodbye","Igneous and metamorphic rock"
"Goodin","Siltstone"
"Gooding","Rhyolite"
"Goodington","Basalt"
"Goodlow","Basalt"
"Goodness","Sedimentary rock"
"Goodnight","Sedimentary rock"
"Goodnoe","Basalt"
"Goodski","Granite"
"Goodson","Shale and siltstone"
"Goodsprings","Mixed"
"Goodtack","Basalt"
"Goodwater","Limestone"
"Goodwin","Granite"
"Goolaway","Metavolcanics"
"Goose Lake","Basalt"
"Goosebury","Limestone"
"Goosepeak","Rhyolite"
"Gordo","Basalt"
"Gordonpoint","Basalt"
"Goresville","Igneous and metamorphic rock"
"Gorgas","Sandstone"
"Gorgonio","Granite"
"Gorhamgulch","Granite"
"Gorman","Granite"
"Gorzell","Igneous and sedimentary rock"
"Goshawk","Metasedimentary rock"
"Goslin","Sandstone and shale"
"Gosney","Basalt"
"Gosport","Shale"
"Goss","Limestone"
"Gotchell","Granite"
"Gotebo","Shale and siltstone"
"Gothic","Volcanic rock"
"Gotho","Sandstone and shale"
"Gougeville","Igneous and sedimentary rock"
"Goulder","Volcanic rock"
"Goulding","Metavolcanics"
"Gourley","Metamorphic and sedimentary rock"
"Gove","Granite"
"Govey","Basalt"
"Govstanford","Igneous and metamorphic rock"
"Govwash","Basalt"
"Gowen","Mixed"
"Gowker","Mixed"
"Goyer","Shale"
"Gozem","Serpentinite"
"Grabbler","Mixed"
"Grabe","Igneous and sedimentary rock"
"Gracemont","Sedimentary rock"
"Gracemore","Sedimentary rock"
"Gradco","Tuff"
"Gradon","Igneous rock"
"Grady","Sedimentary rock"
"Grafen","Quartzite"
"Gragoreo","Sandstone"
"Graham","Basalt"
